ID,Aspecto,Categoría,Sentimiento,Evidencia,Fecha
0,Free,Precio,Positivo,"It’s free admission, so it’s worth a visit at least once",2021-11-03
1,Area,Ubicación,Positivo,Very beautiful area,
2,Parque,Naturaleza,Positivo,"Nice park
Buen parque
Good park",2024-12-01
3,Zoo,Naturaleza,Neutro,Zoo and park,2019-10-08
4,Bench,Infraestructura,Positivo,"Wi-Fi zone, benches, eco friendly",
4,Friendly,Atención,Positivo,"Wi-Fi zone, benches, eco friendly",
4,Zone,Ubicación,Positivo,"Wi-Fi zone, benches, eco friendly",
5,Green,Naturaleza,Neutro,green area,
5,Area,Ubicación,Neutro,green area,
6,Safe,Seguridad,Neutro,A bit unsafe area,
6,Area,Ubicación,Neutro,A bit unsafe area,
7,Near,Ubicación,Neutro,"Tourist area, near the city cathedral",2017-05-10
8,Area,Ubicación,Neutro,Entertainment area for children,2021-09-08
9,Restaurant,Gastronomía,Neutro,"Commercial area, there are Restaurants, Cafes, Gas Station, Spare Parts, Paints, Hospital and more",
9,Area,Ubicación,Neutro,"Commercial area, there are Restaurants, Cafes, Gas Station, Spare Parts, Paints, Hospital and more",
10,Safe,Seguridad,Positivo,"Central area in Loja, very orderly and safe",
10,Orderly,Infraestructura,Positivo,"Central area in Loja, very orderly and safe",
10,Area,Ubicación,Positivo,"Central area in Loja, very orderly and safe",
11,Nature,Naturaleza,Neutro,Zamora Huayco place to distract yourself and strangers place where you can enjoy nature,
12,Lugar,Infraestructura,Neutro,I stopped by to visit on a Friday and it was closed. I looked for the number to call but there was n,
13,Fee,Precio,Neutro,"I haven't gone but I would like to, art is a way to express feelings etc",2024-01-03
14,Service,Atención,Neutro,And it is true that the service is terrible,
14,Calle,Transporte,Neutro,I called the lady who sold me that he receive me because there is a lot of leftover material and he knew how to tell me that he cannot receive it,
15,Lugar,Infraestructura,Neutro,"I have a hard time with my family and the truth is we had a lot of fun, I recommend it because it ha",
16,Lugar,Infraestructura,Positivo,I love this square,
17,Cost,Precio,Neutro,"From the bottom to the refuge it is an 8 kilometer climb, it is better for the taxi to take you there (it cost us $10, then we talked to him to come pick us up)
From the Loja part you have 3 trails to do",
17,View,Naturaleza,Neutro,"One of 700m, another of 300m and the one with the viewpoints which are 5 kilometers",
17,Taxi,Transporte,Neutro,"I accessed the park from Loja, it is essential to go by car or taxi",
18,Lugar,Infraestructura,Neutro,There are no more boats,2021-04-07
19,Lugar,Infraestructura,Neutro,You already need to renew,2020-01-12
20,Lugar,Infraestructura,Neutro,The place already needs a lot of maintenance,
21,Lugar,Infraestructura,Neutro,I already miss the Christmas lights,
22,Lugar,Infraestructura,Neutro,already cool,2020-01-02
23,Green,Naturaleza,Neutro,"There is almost no green area, it is full of monuments and the children no longer have anywhere to have fun",2024-01-02
23,Area,Ubicación,Neutro,"There is almost no green area, it is full of monuments and the children no longer have anywhere to have fun",2024-01-02
24,Lugar,Infraestructura,Neutro,"AND
EITHER
OR",
25,Lugar,Infraestructura,Neutro,Because he is celebrating for his employer,2020-11-01
26,Lugar,Infraestructura,Neutro,Because my workplace is close to there.,
27,Park,Naturaleza,Positivo,a nice park to go out with the family,2020-01-02
28,Lugar,Infraestructura,Neutro,X that we are deceived all of us who are Catholics who tell us that the Iglesias does all human bein,
29,Lugar,Infraestructura,Neutro,X gastronomy,2020-12-01
30,Lugar,Infraestructura,Positivo,X the flora and fauna very nice place to walk.,
31,Nature,Naturaleza,Neutro,"Woooow I like nature, walking its trails, seeing the flora and fauna, this park has everything",
32,Lugar,Infraestructura,Neutro,"Vvvvvggvvvcn, little, 6",2024-10-05
33,View,Naturaleza,Neutro,"Panoramic view, no parking area, ample space",
33,Parking,Transporte,Neutro,"Panoramic view, no parking area, ample space",
33,Area,Ubicación,Neutro,"Panoramic view, no parking area, ample space",
34,Lugar,Infraestructura,Neutro,Cultural Thursdays are back,
35,Lugar,Infraestructura,Neutro,I will return,
36,Lugar,Infraestructura,Positivo,COMING BACK IS ALWAYS A VERY GOOD EXPERIENCE,2023-03-10
37,Lugar,Infraestructura,Neutro,Go back to the past with history.,2023-10-04
38,Lugar,Infraestructura,Neutro,Live the best plays,
39,Lugar,Infraestructura,Neutro,"Live the past, Musical store",
40,Lugar,Infraestructura,Neutro,LONG LIVE....THE ARTS AND MUSIC TOO...,2023-02-09
41,Landscape,Naturaleza,Neutro,Tree landscape views,
42,Cafes,Gastronomía,Positivo,Beautiful view and delicious cafes around,2024-04-03
42,View,Naturaleza,Positivo,Beautiful view and delicious cafes around,2024-04-03
43,Eat,Gastronomía,Positivo,"Great, panoramic view of Loja",2021-09-02
43,View,Naturaleza,Positivo,"Great, panoramic view of Loja",2021-09-02
44,View,Naturaleza,Neutro,Spectacular sunset view,2023-07-05
45,View,Naturaleza,Neutro,Spectacular view,
46,Security,Seguridad,Positivo,Lack of more security,2019-07-09
46,View,Naturaleza,Positivo,Nice view of the city,2019-07-09
46,City,Ubicación,Positivo,Nice view of the city,2019-07-09
47,Clean,Infraestructura,Positivo,"Visit it in Loja, very clean",
48,Lugar,Infraestructura,Neutro,Visitenlo!!!,
49,Landscape,Naturaleza,Positivo,"Visit the Daniel Alvarez La Laguna park, it has a beautiful natural landscape, with charming games for children and adults, and you can also enjoy fresh, unpolluted air",
50,City,Ubicación,Neutro,Visiting it is knowing something more about our history and city,
51,Cafes,Gastronomía,Neutro,The local cafes are very cozy,
51,Park,Naturaleza,Neutro,Visiting the central park along with the city museum is essential and very pleasant,
51,Central,Ubicación,Neutro,Visiting the central park along with the city museum is essential and very pleasant,
52,Lugar,Infraestructura,Positivo,Visit a good place to de-skill,
53,Park,Naturaleza,Neutro,Foreigners and nationals adorn the artistic delights of this park,
54,Lugar,Infraestructura,Neutro,Visiting the Virgin of the Swan,
55,Lugar,Infraestructura,Neutro,Visiting our heavenly mother,2022-03-05
56,Lugar,Infraestructura,Neutro,Visiting the Virgin of the Swan.❤️❤️,
57,Lugar,Infraestructura,Neutro,visit it,
58,Lugar,Infraestructura,Positivo,Visit it highly recommended very beautiful,2019-07-09
59,Lugar,Infraestructura,Neutro,Visited by many tourists,2019-04-09
60,Lugar,Infraestructura,Neutro,Mandatory visit,
61,Lugar,Infraestructura,Neutro,Must visit for tourists,
