ID,Aspecto,Categoría,Sentimiento,Evidencia,Fecha
0,Free admission,Precio,Positivo,"It’s free admission, so it’s worth a visit at least once.
Not much to see",2021-03-11
0,It’s worth a visit at least once,Precio,Positivo,"It’s free admission, so it’s worth a visit at least once.
Not much to see",2021-03-11
0,Not much to see,Naturaleza,Negativo,"It’s free admission, so it’s worth a visit at least once.
Not much to see",2021-03-11
1,Very beautiful area,Ubicación,Positivo,Very beautiful area,2023-12-29
2,Nice park,Naturaleza,Positivo,"Nice park
Buen parque
Good park",2024-01-12
2,Buen parque,Naturaleza,Neutro,"Nice park
Buen parque
Good park",2024-01-12
2,Good park,Naturaleza,Positivo,"Nice park
Buen parque
Good park",2024-01-12
3,Zoo and park,Naturaleza,Neutro,Zoo and park,2019-08-10
4,Wi-fi zone,Ubicación,Neutro,"Wi-Fi zone, benches, eco friendly",2024-01-30
4,Benches,Infraestructura,Neutro,"Wi-Fi zone, benches, eco friendly",2024-01-30
4,Eco friendly,Atención,Positivo,"Wi-Fi zone, benches, eco friendly",2024-01-30
5,Green area,Naturaleza,Neutro,green area,2024-05-26
6,A bit unsafe area,Seguridad,Neutro,A bit unsafe area,2021-05-27
7,Tourist area,Ubicación,Neutro,"Tourist area, near the city cathedral",2017-10-05
7,Near the city cathedral,Ubicación,Neutro,"Tourist area, near the city cathedral",2017-10-05
8,Entertainment area for children,Ubicación,Neutro,Entertainment area for children,2021-08-09
9,Commercial area,Ubicación,Neutro,"Commercial area, there are Restaurants, Cafes, Gas Station, Spare Parts, Paints, Hospital and more",2018-05-23
9,There are restaurants,Gastronomía,Neutro,"Commercial area, there are Restaurants, Cafes, Gas Station, Spare Parts, Paints, Hospital and more",2018-05-23
9,Cafes,Gastronomía,Neutro,"Commercial area, there are Restaurants, Cafes, Gas Station, Spare Parts, Paints, Hospital and more",2018-05-23
10,Central area in loja,Ubicación,Neutro,"Central area in Loja, very orderly and safe. However, after 8:00 p.m. it is not advisable to frequent",2023-10-18
10,Very orderly and safe,Seguridad,Positivo,"Central area in Loja, very orderly and safe. However, after 8:00 p.m. it is not advisable to frequent",2023-10-18
11,Zamora huayco place to distract yourself and strangers place where you can enjoy nature,Infraestructura,Positivo,Zamora Huayco place to distract yourself and strangers place where you can enjoy nature,2019-05-14
14,Art is a way to express feelings etc,Precio,Neutro,"I haven't gone but I would like to, art is a way to express feelings etc.",2024-03-01
15,I called the lady who sold me that he receive me because there is a lot of leftover material and he knew how to tell me that he cannot receive it,Transporte,Negativo,"I made a purchase of ceramics...the lady who assisted me took out the amount of pegacer plus 25 kilos...total that the masters installed the ceramics there was a surplus of 9 covers of 25 kilos.I called the lady who sold me that he receive me because there is a lot of leftover material and he knew how to tell me that he cannot receive it... and he made an exception and told me to bring it to him but that he would not give me the money back but rather he would give me the material and after a month... It is somewhat unfair. And it is true that the service is terrible. The saleswomen should tell the clients that if there is excess, there is no refund to get a quote from the architect who is doing the work and not from the ladies who serve.",2023-05-28
15,He made an exception and told me to bring it to him but that he would not give me the money back but rather he would give me the material and after a month,Precio,Negativo,"I made a purchase of ceramics...the lady who assisted me took out the amount of pegacer plus 25 kilos...total that the masters installed the ceramics there was a surplus of 9 covers of 25 kilos.I called the lady who sold me that he receive me because there is a lot of leftover material and he knew how to tell me that he cannot receive it... and he made an exception and told me to bring it to him but that he would not give me the money back but rather he would give me the material and after a month... It is somewhat unfair. And it is true that the service is terrible. The saleswomen should tell the clients that if there is excess, there is no refund to get a quote from the architect who is doing the work and not from the ladies who serve.",2023-05-28
15,Somewhat unfair,Naturaleza,Neutro,"I made a purchase of ceramics...the lady who assisted me took out the amount of pegacer plus 25 kilos...total that the masters installed the ceramics there was a surplus of 9 covers of 25 kilos.I called the lady who sold me that he receive me because there is a lot of leftover material and he knew how to tell me that he cannot receive it... and he made an exception and told me to bring it to him but that he would not give me the money back but rather he would give me the material and after a month... It is somewhat unfair. And it is true that the service is terrible. The saleswomen should tell the clients that if there is excess, there is no refund to get a quote from the architect who is doing the work and not from the ladies who serve.",2023-05-28
